analysis_scope,protocol,feature_set,backbone,epoch,k,beta,late_q,mean_inner_validation_mae,std_inner_validation_mae,num_inner_tasks,fold1_mae,fold2_mae,fold3_mae,avg_outer_mae,fold1_rmse,fold2_rmse,fold3_rmse,avg_outer_rmse,selected_for_mainline,notes
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,10,0.3,0.5,3.9327784180641174,2.8958694719649514,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,10,0.5,0.8,3.946842908859253,2.451278722529854,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,10,0.7,0.8,3.9578861792882285,2.0576525133500354,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,3,0.3,0.8,4.111024518807729,2.922534863283145,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,5,0.3,0.8,4.119191249211629,2.9244054188669075,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,7,0.3,0.8,4.127017478148143,2.9258052551498865,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,10,0.3,0.8,4.1376519203186035,2.927451530385313,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,3,1.0,0.8,4.193479319413503,1.77267569667944,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,5,1.0,0.8,4.224962015946706,1.7748410702188673,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,7,1.0,0.8,4.252987364927928,1.777530311085482,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
inner_loso_grid,source-only inner-LOSO,Pure RMS7,Baseline + KNN,300,10,1.0,0.8,4.2949254512786865,1.776980876484031,6,,,,,,,,,no,Full inner-LOSO search record for appendix.
outer_loco_k_sweep,outer LOCO 3-fold,Pure RMS7,Baseline + KNN,300,1,1.0,0.0,,,,2.1701,2.6568,2.5618,2.4629,2.6033,3.0219,3.1287,2.9179,no,Outer-test k sweep at fixed beta=1.0 and late_q=0.0. For robustness analysis only; not used to redefine the legal mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Pure RMS7,Baseline + KNN,300,3,1.0,0.0,,,,2.2288,2.6132,2.5692,2.4704,2.6342,2.9667,3.1348,2.9119,yes,Outer-test k sweep at fixed beta=1.0 and late_q=0.0. For robustness analysis only; not used to redefine the legal mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Pure RMS7,Baseline + KNN,300,5,1.0,0.0,,,,2.2378,2.5908,2.5637,2.4641,2.6558,2.9385,3.1275,2.9073,no,Outer-test k sweep at fixed beta=1.0 and late_q=0.0. For robustness analysis only; not used to redefine the legal mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Pure RMS7,Baseline + KNN,300,7,1.0,0.0,,,,2.2349,2.4904,2.5636,2.4296,2.6718,2.8126,3.1259,2.8701,no,Outer-test k sweep at fixed beta=1.0 and late_q=0.0. For robustness analysis only; not used to redefine the legal mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Pure RMS7,Baseline + KNN,300,9,1.0,0.0,,,,2.2492,2.3997,2.5684,2.4058,2.6932,2.7034,3.1314,2.8427,no,Outer-test k sweep at fixed beta=1.0 and late_q=0.0. For robustness analysis only; not used to redefine the legal mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Pure RMS7,Baseline + KNN,300,11,1.0,0.0,,,,2.2619,2.2990,2.5717,2.3775,2.7128,2.5745,3.1359,2.8077,no,Outer-test k sweep at fixed beta=1.0 and late_q=0.0. For robustness analysis only; not used to redefine the legal mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Pure RMS7,Baseline + KNN,300,15,1.0,0.0,,,,2.2567,2.1902,2.5857,2.3442,2.7313,2.4616,3.1499,2.7809,no,Outer-test k sweep at fixed beta=1.0 and late_q=0.0. For robustness analysis only; not used to redefine the legal mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Full-133,Baseline + KNN,300,1,1.0,0.0,,,,2.4284,4.4430,3.4236,3.4317,2.5998,4.5466,3.7768,3.6411,no,Outer-test k sweep on Full-133 at fixed beta=1.0 and late_q=0.0. Appendix-only comparison against the RMS7 mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Full-133,Baseline + KNN,300,3,1.0,0.0,,,,2.4263,4.4329,3.4432,3.4342,2.5951,4.5366,3.7922,3.6413,yes,Outer-test k sweep on Full-133 at fixed beta=1.0 and late_q=0.0. Appendix-only comparison against the RMS7 mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Full-133,Baseline + KNN,300,5,1.0,0.0,,,,2.4228,4.4045,3.4546,3.4273,2.5892,4.5086,3.8007,3.6328,no,Outer-test k sweep on Full-133 at fixed beta=1.0 and late_q=0.0. Appendix-only comparison against the RMS7 mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Full-133,Baseline + KNN,300,7,1.0,0.0,,,,2.4179,4.3634,3.5812,3.4542,2.5818,4.4679,3.9107,3.6534,no,Outer-test k sweep on Full-133 at fixed beta=1.0 and late_q=0.0. Appendix-only comparison against the RMS7 mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Full-133,Baseline + KNN,300,9,1.0,0.0,,,,2.4152,4.5987,3.5603,3.5248,2.5769,4.7140,3.8866,3.7259,no,Outer-test k sweep on Full-133 at fixed beta=1.0 and late_q=0.0. Appendix-only comparison against the RMS7 mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Full-133,Baseline + KNN,300,11,1.0,0.0,,,,2.4110,4.7403,3.6320,3.5944,2.5705,4.8633,3.9586,3.7975,no,Outer-test k sweep on Full-133 at fixed beta=1.0 and late_q=0.0. Appendix-only comparison against the RMS7 mainline.
outer_loco_k_sweep,outer LOCO 3-fold,Full-133,Baseline + KNN,300,15,1.0,0.0,,,,2.4020,4.9135,3.7257,3.6804,2.5572,5.0415,4.0568,3.8852,no,Outer-test k sweep on Full-133 at fixed beta=1.0 and late_q=0.0. Appendix-only comparison against the RMS7 mainline.
