fold,k,beta,late_q,mode,stage,num_points,wear_min_um,wear_max_um,mae_um,rmse_um,mean_residual_um,underest_ratio
fold3,10,0.7,0.0,delta-blend@k10_b07,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,10,0.7,0.0,delta-blend@k10_b07,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,10,0.7,0.0,delta-blend@k10_b07,late,56,134.55799865722656,172.6868438720703,35.20022964477539,35.436790466308594,35.20022964477539,0.0
fold3,3,,0.8,delta-knn-only@k3,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,3,,0.8,delta-knn-only@k3,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,3,,0.8,delta-knn-only@k3,late,56,134.55799865722656,172.6868438720703,36.39285659790039,36.82123947143555,36.39285659790039,0.0
fold3,3,0.3,0.8,delta-blend@k3_b03,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,3,0.3,0.8,delta-blend@k3_b03,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,3,0.3,0.8,delta-blend@k3_b03,late,56,134.55799865722656,172.6868438720703,33.379024505615234,33.447547912597656,33.379024505615234,0.0
fold3,3,0.5,0.8,delta-blend@k3_b05,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,3,0.5,0.8,delta-blend@k3_b05,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,3,0.5,0.8,delta-blend@k3_b05,late,56,134.55799865722656,172.6868438720703,34.24011993408203,34.38016128540039,34.24011993408203,0.0
fold3,3,0.7,0.8,delta-blend@k3_b07,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,3,0.7,0.8,delta-blend@k3_b07,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,3,0.7,0.8,delta-blend@k3_b07,late,56,134.55799865722656,172.6868438720703,35.10121536254883,35.338836669921875,35.10121536254883,0.0
fold3,5,,0.8,delta-knn-only@k5,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,5,,0.8,delta-knn-only@k5,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,5,,0.8,delta-knn-only@k5,late,56,134.55799865722656,172.6868438720703,36.432655334472656,36.860008239746094,36.432655334472656,0.0
fold3,5,0.3,0.8,delta-blend@k5_b03,early,0,94.5686264038086,109.89444732666016,nan,nan,nan,nan
fold3,5,0.3,0.8,delta-blend@k5_b03,mid,0,110.37812042236328,134.4010467529297,nan,nan,nan,nan
fold3,5,0.3,0.8,delta-blend@k5_b03,late,56,134.55799865722656,172.6868438720703,33.39096450805664,33.45945358276367,33.39096450805664,0.0
